FID,lat,lon
0,-77.553217180499999,166.159852894000010
1,-77.553231925700004,166.160049093000000
2,-77.553246670899995,166.160245292000010
3,-77.553261415899996,166.160441491999990
4,-77.553276160699994,166.160637691999990
5,-77.553290905500006,166.160833892999990
6,-77.553305649999999,166.161030094000010
7,-77.553320394500005,166.161226296000000
8,-77.553351190399994,166.161342843000000
9,-77.553394389499999,166.161397840000010
10,-77.553437588600005,166.161452838000000
11,-77.553480787699996,166.161507836000000
12,-77.553523986700000,166.161562835000010
13,-77.553567185800006,166.161617834000000
14,-77.553594465900005,166.161768892000000
15,-77.553617034799998,166.161948378999990
16,-77.553639603600004,166.162127867000010
17,-77.553662172299994,166.162307355000000
18,-77.553684740899996,166.162486844000000
19,-77.553707309299995,166.162666333999990
20,-77.553725525600001,166.162856127000000
21,-77.553743622799999,166.163046202999990
22,-77.553761719799994,166.163236278999990
23,-77.553779816800002,166.163426355000010
24,-77.553804585300000,166.163592469000010
25,-77.553839729700002,166.163721317000010
26,-77.553874874000002,166.163850165000010
27,-77.553910018300002,166.163979014000010
28,-77.553945162399998,166.164107863999990
29,-77.553980306599996,166.164236714999990
30,-77.554015450600005,166.164365565999990
31,-77.554050594600000,166.164494418000000
32,-77.554071653199998,166.164676560999990
33,-77.554091801499993,166.164862148999990
34,-77.554111949700001,166.165047738000000
35,-77.554132097799993,166.165233327000010
36,-77.554152245699996,166.165418915999990
37,-77.554172204699995,166.165604933999990
38,-77.554191403100006,166.165792678000000
39,-77.554210601299999,166.165980421999990
40,-77.554229799400005,166.166168167000000
41,-77.554248997299993,166.166355912000000
42,-77.554268195099993,166.166543657999990
43,-77.554287392800006,166.166731403999990
44,-77.554306590400003,166.166919151000000
45,-77.554325787799996,166.167106897999990
46,-77.554362376800000,166.167223686999990
47,-77.554400071200007,166.167335966000000
48,-77.554437765599999,166.167448245999990
49,-77.554475459900004,166.167560525999990
50,-77.554513154199995,166.167672807000000
51,-77.554550848399998,166.167785089000010
52,-77.554590775400001,166.167745612000000
53,-77.554631408700004,166.167658127000010
54,-77.554672042000007,166.167570641000000
55,-77.554712675299996,166.167483155000010
56,-77.554753308499997,166.167395668000010
57,-77.554788138199996,166.167274135000010
58,-77.554815858300003,166.167110895000010
59,-77.554843578399996,166.166947652999990
60,-77.554871298300000,166.166784412000000
61,-77.554899018100002,166.166621169000000
62,-77.554926737800002,166.166457925999990
63,-77.554954747699995,166.166295835999990
64,-77.554985289200005,166.166143814000010
65,-77.555015830599999,166.165991789999990
66,-77.555046371900005,166.165839766000000
67,-77.555076913199997,166.165687741999990
68,-77.555107454300000,166.165535715999990
69,-77.555137995400003,166.165383690000000
70,-77.555143548000004,166.165179880000010
71,-77.555147577000000,166.164972913000010
72,-77.555151605899994,166.164765945999990
73,-77.555155634599998,166.164558978999990
74,-77.555159663100000,166.164352011999990
75,-77.555134289400002,166.164197758999990
76,-77.555101303599997,166.164057154000010
77,-77.555068317700005,166.163916548999990
78,-77.555035331699997,166.163775945000000
79,-77.555002345700004,166.163635341999990
80,-77.554969359599994,166.163494740000000
81,-77.554936373399997,166.163354137999990
82,-77.554903387099998,166.163213538000010
83,-77.554870400799999,166.163072938000000
84,-77.554837414399998,166.162932337999990
85,-77.554804427899995,166.162791739999990
86,-77.554771441400007,166.162651141999990
87,-77.554744376000002,166.162506669000010
88,-77.554767688200002,166.162329220999990
89,-77.554791000199998,166.162151773000010
90,-77.554814312100007,166.161974324000000
91,-77.554837623899999,166.161796874000000
92,-77.554852598699995,166.161617473000010
93,-77.554833255099993,166.161430040000000
94,-77.554813911500005,166.161242608000010
95,-77.554794567700000,166.161055177000010
96,-77.554775223799993,166.160867747000000
97,-77.554750462300007,166.160718559999990
98,-77.554705698500001,166.160710579000010
99,-77.554660934699996,166.160702598999990
100,-77.554616170900005,166.160694618000010
101,-77.554571407099999,166.160686637000000
102,-77.554526643299994,166.160678655999990
103,-77.554481879500003,166.160670676000000
104,-77.554437487900003,166.160648425999990
105,-77.554393605000001,166.160606664999990
106,-77.554349722100000,166.160564904000010
107,-77.554305839199998,166.160523144000000
108,-77.554261956299996,166.160481384000010
109,-77.554218073399994,166.160439623999990
110,-77.554174190500007,166.160397864999990
111,-77.554130307600005,166.160356105999990
112,-77.554086806499996,166.160309589000010
113,-77.554047718899994,166.160208079000000
114,-77.554008631299993,166.160106568999990
115,-77.553969543700006,166.160005060000000
116,-77.553930456000003,166.159903551000010
117,-77.553891368199999,166.159802043000010
118,-77.553852280499996,166.159700536000000
119,-77.553813192700005,166.159599028999990
120,-77.553774104799999,166.159497523000000
121,-77.553735016999994,166.159396017000010
122,-77.553692538899995,166.159337994000000
123,-77.553648495299996,166.159300050000010
124,-77.553604451699997,166.159262106000000
125,-77.553560408099997,166.159224161999990
126,-77.553516364600000,166.159186218000000
127,-77.553472321000001,166.159148275000010
128,-77.553428277400002,166.159110332000010
129,-77.553384233800003,166.159072388999990
130,-77.553340190200004,166.159034445999990
131,-77.553310574400001,166.159147014000010
132,-77.553287143999995,166.159324105000000
133,-77.553263713400000,166.159501196000010
134,-77.553240282700003,166.159678286999990
135,-77.553217180499999,166.159852894000010