FID,lon,lat
0,169.257019801,-77.4586057458
1,169.256913465,-77.4586441284
2,169.256807128,-77.458682511
3,169.256700791,-77.4587208935
4,169.256594452,-77.458759276
5,169.256488114,-77.4587976584
6,169.256381774,-77.4588360408
7,169.256275434,-77.4588744231
8,169.256169093,-77.4589128054
9,169.256062752,-77.4589511877
10,169.25595641,-77.4589895699
11,169.255850067,-77.4590279521
12,169.25573977,-77.4590658025
13,169.255628993,-77.4591035884
14,169.255518215,-77.4591413742
15,169.255407437,-77.4591791601
16,169.255296658,-77.4592169458
17,169.255185878,-77.4592547316
18,169.255075098,-77.4592925173
19,169.254964317,-77.4593303029
20,169.254853535,-77.4593680885
21,169.254742753,-77.4594058741
22,169.25463197,-77.4594436596
23,169.254521186,-77.459481445
24,169.254410402,-77.4595192305
25,169.254300104,-77.4595570828
26,169.254190365,-77.4595950118
27,169.254080625,-77.4596329409
28,169.253970884,-77.4596708698
29,169.253861143,-77.4597087988
30,169.253751401,-77.4597467277
31,169.253641658,-77.4597846565
32,169.253531915,-77.4598225853
33,169.253422171,-77.4598605141
34,169.253312426,-77.4598984428
35,169.253202681,-77.4599363715
36,169.253092935,-77.4599743001
37,169.252987829,-77.460012785
38,169.252898584,-77.4600531708
39,169.252809338,-77.4600935567
40,169.252720091,-77.4601339426
41,169.252630844,-77.4601743284
42,169.252541597,-77.4602147141
43,169.252466091,-77.4602563753
44,169.252393402,-77.4602982978
45,169.252320712,-77.4603402203
46,169.252248022,-77.4603821427
47,169.252175332,-77.4604240652
48,169.252102641,-77.4604659876
49,169.252029949,-77.46050791
50,169.251957257,-77.4605498324
51,169.251884565,-77.4605917548
52,169.251822529,-77.4606344584
53,169.25176337,-77.4606773729
54,169.251704211,-77.4607202874
55,169.251645051,-77.4607632019
56,169.251585891,-77.4608061163
57,169.251439498,-77.4608261137
58,169.251234295,-77.4608306608
59,169.251029092,-77.4608352078
60,169.250823889,-77.4608397547
61,169.250618686,-77.4608443013
62,169.250413482,-77.4608488478
63,169.250252402,-77.4608348448
64,169.250150726,-77.4607958688
65,169.250049051,-77.4607568927
66,169.249947376,-77.4607179167
67,169.249845701,-77.4606789405
68,169.249744028,-77.4606399644
69,169.249642355,-77.4606009882
70,169.249540682,-77.460562012
71,169.249439011,-77.4605230357
72,169.249356691,-77.4604830533
73,169.249366077,-77.4604383032
74,169.249375464,-77.4603935531
75,169.24938485,-77.460348803
76,169.249394236,-77.4603040529
77,169.249403622,-77.4602593028
78,169.249413008,-77.4602145527
79,169.249422394,-77.4601698026
80,169.249411201,-77.4601250789
81,169.249399385,-77.460080356
82,169.249387568,-77.460035633
83,169.249319834,-77.4599973981
84,169.249155242,-77.4599704015
85,169.24899065,-77.4599434048
86,169.248826059,-77.4599164081
87,169.248661469,-77.4598894112
88,169.248496879,-77.4598624142
89,169.24833229,-77.4598354171
90,169.248167702,-77.4598084199
91,169.248003115,-77.4597814227
92,169.247838528,-77.4597544253
93,169.247673942,-77.4597274278
94,169.247511352,-77.4596999328
95,169.247365726,-77.4596682104
96,169.2472201,-77.459636488
97,169.247074475,-77.4596047655
98,169.246928851,-77.459573043
99,169.246783227,-77.4595413203
100,169.246637604,-77.4595095976
101,169.246491982,-77.4594778748
102,169.246352885,-77.4594448616
103,169.246221086,-77.4594104054
104,169.246089287,-77.4593759491
105,169.245957489,-77.4593414928
106,169.245825691,-77.4593070364
107,169.245693895,-77.4592725799
108,169.245562099,-77.4592381234
109,169.245430303,-77.4592036668
110,169.245298509,-77.4591692101
111,169.245166715,-77.4591347534
112,169.245034922,-77.4591002966
113,169.244903129,-77.4590658398
114,169.244727199,-77.4590430099
115,169.244546357,-77.4590214739
116,169.244365515,-77.4589999378
117,169.244184674,-77.4589784016
118,169.244003834,-77.4589568653
119,169.243822994,-77.4589353288
120,169.243642155,-77.4589137922
121,169.243461316,-77.4588922555
122,169.243280478,-77.4588707187
123,169.243099641,-77.4588491818
124,169.242918804,-77.4588276447
125,169.242737968,-77.4588061075
126,169.242553777,-77.4587890276
127,169.242350777,-77.4587969313
128,169.242147777,-77.458804835
129,169.241944777,-77.4588127384
130,169.241741776,-77.4588206417
131,169.241538775,-77.4588285449
132,169.241336882,-77.4588372597
133,169.241146823,-77.4588546514
134,169.240956763,-77.4588720429
135,169.240766704,-77.4588894342
136,169.240576643,-77.4589068255
137,169.240386582,-77.4589242166
138,169.240196521,-77.4589416075
139,169.240006459,-77.4589589984
140,169.239816396,-77.4589763891
141,169.239626333,-77.4589937796
142,169.23943627,-77.4590111701
143,169.239246205,-77.4590285604
144,169.239056141,-77.4590459505
145,169.238866076,-77.4590633406
146,169.23867601,-77.4590807305
147,169.238485944,-77.4590981202
148,169.238295877,-77.4591155098
149,169.23810581,-77.4591328993
150,169.237915742,-77.4591502887
151,169.237725674,-77.4591676779
152,169.237535605,-77.459185067
153,169.237345536,-77.459202456
154,169.237155466,-77.4592198448
155,169.236965396,-77.4592372335
156,169.236775325,-77.4592546221
157,169.236585254,-77.4592720105
158,169.236464004,-77.4593050452
159,169.23637536,-77.4593454931
160,169.236286715,-77.4593859409
161,169.236198071,-77.4594263886
162,169.236109425,-77.4594668364
163,169.236020779,-77.4595072841
164,169.235932133,-77.4595477318
165,169.235843485,-77.4595881794
166,169.235754838,-77.4596286271
167,169.23566619,-77.4596690747
168,169.235577541,-77.4597095222
169,169.235488891,-77.4597499698
170,169.235400241,-77.4597904173
171,169.235311591,-77.4598308648
172,169.23522294,-77.4598713122
173,169.235134288,-77.4599117596
174,169.235045636,-77.459952207
175,169.234956983,-77.4599926544
176,169.23486833,-77.4600331017
177,169.234779676,-77.460073549
178,169.234691022,-77.4601139963
179,169.234603001,-77.4601545089
180,169.234514999,-77.4601950234
181,169.234426996,-77.4602355378
182,169.234338993,-77.4602760522
183,169.234250988,-77.4603165666
184,169.234162984,-77.4603570809
185,169.234074979,-77.4603975952
186,169.233969639,-77.4604352499
187,169.23381354,-77.460464531
188,169.23365744,-77.460493812
189,169.233501339,-77.4605230929
190,169.233346501,-77.4605526436
191,169.233214183,-77.4605870082
192,169.233081865,-77.4606213727
193,169.232949546,-77.4606557372
194,169.232817226,-77.4606901016
195,169.232684906,-77.4607244659
196,169.232552585,-77.4607588302
197,169.232420263,-77.4607931944
198,169.232299238,-77.4608293883
199,169.232185319,-77.4608667332
200,169.2320714,-77.4609040781
201,169.231957481,-77.4609414229
202,169.23184356,-77.4609787677
203,169.231729639,-77.4610161125
204,169.231622979,-77.4610543419
205,169.231535608,-77.4610949214
206,169.231448235,-77.4611355007
207,169.231360862,-77.4611760801
208,169.231273489,-77.4612166594
209,169.231186115,-77.4612572387
210,169.23109874,-77.461297818
211,169.231011365,-77.4613383972
212,169.230923989,-77.4613789764
213,169.230836613,-77.4614195556
214,169.230749236,-77.4614601348
215,169.230664032,-77.4615009303
216,169.230579402,-77.4615417833
217,169.230494773,-77.4615826361
218,169.230410142,-77.461623489
219,169.230325512,-77.4616643419
220,169.23024088,-77.4617051947
221,169.230156248,-77.4617460475
222,169.230071107,-77.4617868415
223,169.22996255,-77.4618249333
224,169.229853993,-77.4618630251
225,169.229745435,-77.4619011169
226,169.229636876,-77.4619392086
227,169.229528317,-77.4619773003
228,169.229419757,-77.4620153919
229,169.229311196,-77.4620534835
230,169.229202635,-77.4620915751
231,169.229094073,-77.4621296666
232,169.22897835,-77.462166748
233,169.228862214,-77.4622037711
234,169.228746077,-77.4622407942
235,169.228629939,-77.4622778173
236,169.2285138,-77.4623148402
237,169.228397661,-77.4623518632
238,169.228281522,-77.462388886
239,169.228165381,-77.4624259089
240,169.22804924,-77.4624629317
241,169.227933098,-77.4624999544
242,169.227806939,-77.4625348867
243,169.227641192,-77.462561558
244,169.227475445,-77.4625882291
245,169.227309697,-77.4626149001
246,169.227143949,-77.462641571
247,169.2269782,-77.4626682419
248,169.22681245,-77.4626949126
249,169.226646699,-77.4627215832
250,169.226480948,-77.4627482537
251,169.226315196,-77.4627749241
252,169.226149443,-77.4628015944
253,169.225983689,-77.4628282646
254,169.225817935,-77.4628549348
255,169.22565218,-77.4628816048
256,169.225479864,-77.4628933408
257,169.225293875,-77.4628739573
258,169.225107887,-77.4628545736
259,169.2249219,-77.4628351898
260,169.224735913,-77.4628158059
261,169.224549927,-77.4627964218
262,169.224385373,-77.4627712303
263,169.22425772,-77.4627360396
264,169.224130068,-77.4627008488
265,169.224002416,-77.4626656579
266,169.223874765,-77.462630467
267,169.223747115,-77.462595276
268,169.223622998,-77.462559504
269,169.223501593,-77.4625232863
270,169.223380188,-77.4624870684
271,169.223258783,-77.4624508505
272,169.22313738,-77.4624146326
273,169.223015977,-77.4623784146
274,169.222894575,-77.4623421965
275,169.222843758,-77.4622998419
276,169.222816518,-77.4622554377
277,169.222789278,-77.4622110334
278,169.222762038,-77.4621666292
279,169.222797936,-77.4621230602
280,169.222849797,-77.4620797024
281,169.222901659,-77.4620363447
282,169.22295352,-77.4619929869
283,169.22300538,-77.4619496291
284,169.22305724,-77.4619062713
285,169.2231091,-77.4618629135
286,169.22316096,-77.4618195556
287,169.223212819,-77.4617761978
288,169.223264677,-77.46173284
289,169.223306403,-77.4616891989
290,169.223306791,-77.4616444025
291,169.223307178,-77.461599606
292,169.223352173,-77.4615560536
293,169.22340392,-77.4615126895
294,169.223455667,-77.4614693254
295,169.223506212,-77.4614259123
296,169.223530573,-77.4613814292
297,169.223554933,-77.4613369462
298,169.22358314,-77.4612925785
299,169.22361519,-77.461248326
300,169.22364724,-77.4612040735
301,169.22367929,-77.4611598211
302,169.22371134,-77.4611155686
303,169.223743389,-77.4610713161
304,169.223775438,-77.4610270636
305,169.223807487,-77.4609828111
306,169.22380681,-77.4609381793
307,169.223796631,-77.4608934374
308,169.223786452,-77.4608486954
309,169.223776274,-77.4608039535
310,169.223765283,-77.4607592208
311,169.223753839,-77.4607144933
312,169.223742395,-77.4606697658
313,169.223730951,-77.4606250383
314,169.223719507,-77.4605803108
315,169.223708064,-77.4605355833
316,169.22369662,-77.4604908557
317,169.223685177,-77.4604461282
318,169.223673733,-77.4604014007
319,169.22366229,-77.4603566732
320,169.223650847,-77.4603119457
321,169.223639403,-77.4602672182
322,169.22362796,-77.4602224907
323,169.223616517,-77.4601777631
324,169.223605074,-77.4601330356
325,169.223593632,-77.4600883081
326,169.223582189,-77.4600435806
327,169.223570746,-77.4599988531
328,169.223559304,-77.4599541256
329,169.223547861,-77.4599093981
330,169.223536419,-77.4598646705
331,169.223524976,-77.459819943
332,169.223507403,-77.4597753297
333,169.223483626,-77.4597308318
334,169.223459848,-77.459686334
335,169.223436071,-77.4596418362
336,169.223412294,-77.4595973383
337,169.223388517,-77.4595528405
338,169.22336474,-77.4595083427
339,169.223340964,-77.4594638448
340,169.223317187,-77.459419347
341,169.223293411,-77.4593748492
342,169.223278103,-77.4593302193
343,169.223272382,-77.4592854401
344,169.223266661,-77.4592406608
345,169.223260941,-77.4591958815
346,169.22325522,-77.4591511023
347,169.223249499,-77.459106323
348,169.223243778,-77.4590615437
349,169.223238058,-77.4590167645
350,169.223232337,-77.4589719852
351,169.223226617,-77.4589272059
352,169.223220896,-77.4588824267
353,169.223215176,-77.4588376474
354,169.223209455,-77.4587928681
355,169.223203735,-77.4587480889
356,169.223201639,-77.4587033273
357,169.223216604,-77.4586586489
358,169.223231569,-77.4586139705
359,169.223246534,-77.4585692921
360,169.223261499,-77.4585246136
361,169.223276464,-77.4584799352
362,169.223291428,-77.4584352568
363,169.223306393,-77.4583905784
364,169.223321357,-77.4583459
365,169.223336322,-77.4583012216
366,169.223351286,-77.4582565432
367,169.22336625,-77.4582118648
368,169.223381214,-77.4581671864
369,169.223396178,-77.4581225079
370,169.223377861,-77.4580781399
371,169.223345324,-77.4580339045
372,169.223312787,-77.457989669
373,169.223280251,-77.4579454336
374,169.223247715,-77.4579011982
375,169.223215179,-77.4578569627
376,169.223182643,-77.4578127273
377,169.223150108,-77.4577684918
378,169.223117572,-77.4577242564
379,169.223085037,-77.4576800209
380,169.223052503,-77.4576357855
381,169.223019968,-77.45759155
382,169.222974123,-77.4575489966
383,169.222813191,-77.4575209866
384,169.222652261,-77.4574929765
385,169.222491331,-77.4574649663
386,169.222330401,-77.457436956
387,169.222169473,-77.4574089456
388,169.222008545,-77.4573809351
389,169.221847618,-77.4573529245
390,169.221686691,-77.4573249138
391,169.221525765,-77.4572969031
392,169.22136484,-77.4572688922
393,169.221203916,-77.4572408812
394,169.221042992,-77.4572128702
395,169.220882069,-77.457184859
396,169.220721147,-77.4571568478
397,169.220580168,-77.4571244285
398,169.220448462,-77.4570899597
399,169.220316757,-77.4570554909
400,169.220185053,-77.457021022
401,169.22005335,-77.456986553
402,169.219921647,-77.4569520839
403,169.219789945,-77.4569176148
404,169.219658243,-77.4568831456
405,169.219526543,-77.4568486764
406,169.219394843,-77.4568142071
407,169.219263143,-77.4567797377
408,169.219131445,-77.4567452682
409,169.218999747,-77.4567107987
410,169.21886805,-77.4566763292
411,169.21875038,-77.4566401459
412,169.218683222,-77.4565977919
413,169.218616065,-77.4565554379
414,169.218548908,-77.4565130839
415,169.218481751,-77.4564707299
416,169.218414595,-77.4564283758
417,169.218347439,-77.4563860218
418,169.218280284,-77.4563436677
419,169.218213129,-77.4563013136
420,169.218145974,-77.4562589595
421,169.21807882,-77.4562166054
422,169.218040917,-77.4561727643
423,169.218014607,-77.456128334
424,169.217988297,-77.4560839037
425,169.217961987,-77.4560394734
426,169.217935678,-77.4559950431
427,169.21791897,-77.4559504655
428,169.2179163,-77.4559056728
429,169.217913629,-77.4558608801
430,169.217910958,-77.4558160873
431,169.217908287,-77.4557712946
432,169.217905616,-77.4557265019
433,169.217902946,-77.4556817092
434,169.217900152,-77.4556369168
435,169.217897092,-77.4555921252
436,169.217894031,-77.4555473337
437,169.217890971,-77.4555025421
438,169.217887911,-77.4554577506
439,169.21788485,-77.455412959
440,169.21788179,-77.4553681675
441,169.21787873,-77.4553233759
442,169.21787567,-77.4552785844
443,169.217872609,-77.4552337928
444,169.217869549,-77.4551890013
445,169.217866489,-77.4551442097
446,169.217875848,-77.455099537
447,169.217897022,-77.4550549774
448,169.217918196,-77.4550104178
449,169.21793937,-77.4549658582
450,169.217960543,-77.4549212985
451,169.217981717,-77.4548767389
452,169.21800289,-77.4548321793
453,169.218024064,-77.4547876197
454,169.218045237,-77.45474306
455,169.21806641,-77.4546985004
456,169.218087583,-77.4546539408
457,169.218108755,-77.4546093811
458,169.218129928,-77.4545648215
459,169.2181511,-77.4545202619
460,169.218172272,-77.4544757022
461,169.218193444,-77.4544311426
462,169.218214616,-77.4543865829
463,169.218235788,-77.4543420233
464,169.21825696,-77.4542974636
465,169.218278131,-77.454252904
466,169.218299303,-77.4542083443
467,169.218320474,-77.4541637847
468,169.218341645,-77.454119225
469,169.218362816,-77.4540746654
470,169.218285052,-77.4540419515
471,169.218100385,-77.4540220376
472,169.217915717,-77.4540021235
473,169.217731051,-77.4539822093
474,169.217546385,-77.453962295
475,169.217361719,-77.4539423806
476,169.217177054,-77.4539224661
477,169.21699239,-77.4539025514
478,169.216807727,-77.4538826366
479,169.216623063,-77.4538627216
480,169.216438401,-77.4538428066
481,169.216253739,-77.4538228914
482,169.216069077,-77.4538029761
483,169.215884417,-77.4537830606
484,169.215699756,-77.4537631451
485,169.215515097,-77.4537432294
486,169.215330438,-77.4537233136
487,169.215145779,-77.4537033976
488,169.214961121,-77.4536834816
489,169.214796083,-77.4536582344
490,169.214666076,-77.4536234689
491,169.214536069,-77.4535887034
492,169.214406063,-77.4535539378
493,169.214276058,-77.4535191721
494,169.214146054,-77.4534844064
495,169.21401605,-77.4534496406
496,169.213886047,-77.4534148747
497,169.213756044,-77.4533801088
498,169.213626043,-77.4533453428
499,169.213496042,-77.4533105767
500,169.213366042,-77.4532758106
501,169.213236042,-77.4532410445
502,169.213106043,-77.4532062782
503,169.212976045,-77.4531715119
504,169.212846048,-77.4531367455
505,169.212716051,-77.4531019791
506,169.212586055,-77.4530672126
507,169.21245606,-77.4530324461
508,169.212326065,-77.4529976795
509,169.212267643,-77.4529571646
510,169.212262348,-77.4529123829
511,169.212315239,-77.4528700477
